Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram
106, 42.87890360333855,0.0,nan,204.0,332.0,244.0,140.0,0.017526275
107, 72.89727103094764,nan,140.0,204.0,332.0,204.0,332.0,0.035888657
108, 36.1932073055647,nan,nan,204.0,332.0,244.0,148.0,0.0034153133
109, 69.71744091108339,nan,148.0,204.0,332.0,204.0,332.0,0.03216862
110, 83.8844964337146,nan,nan,172.0,236.0,244.0,156.0,0.0040037497
111, 63.92464441605123,30.96375653207352,nan,204.0,332.0,204.0,340.0,0.012457115
112, nan,nan,nan,172.0,236.0,228.0,156.0,0.0031455907
113, nan,nan,nan,204.0,324.0,nan,nan,0.0027142807
114, 54.46232220802562,nan,nan,180.0,236.0,244.0,164.0,0.015813125
115, 54.46232220802562,nan,nan,180.0,236.0,244.0,164.0,0.009822341
116, nan,nan,nan,180.0,236.0,244.0,164.0,0.027630862
117, nan,nan,nan,180.0,236.0,252.0,164.0,0.029177263
118, 38.08877288097532,45.0,nan,204.0,332.0,268.0,164.0,0.015331434
119, 53.13010235415598,26.565051177077994,nan,204.0,324.0,268.0,156.0,0.0037097316
120, 43.667780146130355,71.56505117707799,nan,204.0,332.0,268.0,156.0,0.02013156
121, 56.309932474020215,24.775140568831922,172.0,212.0,164.0,204.0,236.0,0.029670518
122, nan,nan,nan,172.0,228.0,252.0,148.0,0.007837039
123, nan,nan,nan,172.0,228.0,252.0,148.0,0.001111565
124, 43.99491399474583,nan,148.0,180.0,228.0,268.0,148.0,0.0033687032
125, 4.7636416907261765,nan,nan,172.0,220.0,252.0,132.0,0.04032332
126, nan,nan,nan,180.0,228.0,252.0,132.0,0.0016608746
127, nan,nan,nan,172.0,228.0,252.0,132.0,0.042809807
128, 67.83365417791754,nan,124.0,196.0,324.0,196.0,324.0,0.014371011
129, 59.03624346792648,45.0,124.0,180.0,228.0,276.0,124.0,0.042809807
130, 50.9061411137705,nan,nan,212.0,260.0,268.0,108.0,0.0016608746
131, 26.565051177077994,nan,nan,196.0,324.0,nan,nan,0.04032332
132, nan,nan,nan,196.0,324.0,252.0,84.0,0.0033687032
133, nan,nan,nan,196.0,324.0,252.0,84.0,0.001111565
134, 33.690067525979785,nan,nan,196.0,324.0,nan,nan,0.007837039
135, 32.9052429229879,nan,nan,252.0,60.0,nan,nan,0.029670518
136, nan,nan,nan,196.0,324.0,nan,nan,0.02013156
137, nan,nan,nan,188.0,324.0,244.0,44.0,0.0037097316
138, nan,nan,nan,196.0,324.0,nan,nan,0.015331434
139, 38.659808254090095,nan,nan,196.0,324.0,244.0,44.0,0.029177263
140, nan,nan,nan,196.0,324.0,236.0,36.0,0.027630862
141, 81.86989764584403,nan,nan,196.0,324.0,228.0,36.0,0.009822341
142, 81.86989764584403,nan,nan,196.0,324.0,228.0,36.0,0.015813125
143, 71.56505117707799,nan,nan,196.0,324.0,nan,nan,0.0027142807
144, nan,nan,nan,196.0,324.0,228.0,44.0,0.0031455907
145, 36.86989764584402,nan,nan,196.0,324.0,236.0,44.0,0.012457115
146, 35.83765295427829,45.0,52.0,180.0,180.0,252.0,52.0,0.0040037497
147, 47.12109639666146,nan,nan,180.0,180.0,252.0,52.0,0.03216862
148, 30.96375653207352,nan,nan,196.0,324.0,244.0,52.0,0.0034153133
149, 30.96375653207352,nan,nan,196.0,324.0,244.0,52.0,0.035888657
150, 32.57405713457251,nan,nan,220.0,260.0,244.0,60.0,0.017526275
151, 49.76364169072618,nan,nan,220.0,260.0,260.0,76.0,0.014070166
152, nan,nan,nan,nan,nan,nan,nan,0.003088295
153, nan,nan,nan,196.0,332.0,nan,nan,0.006077201
154, 49.398705354995535,59.21585347367357,132.0,196.0,220.0,188.0,228.0,0.0007625329
155, 57.52880770915151,55.40771131249006,268.0,268.0,196.0,196.0,332.0,0.018189996
156, 0.0,nan,nan,276.0,124.0,252.0,204.0,0.017054
157, 49.76364169072618,nan,nan,220.0,260.0,276.0,124.0,0.014916568
158, 45.0,nan,nan,196.0,228.0,276.0,140.0,0.0036927182
159, 45.0,nan,nan,204.0,332.0,260.0,148.0,0.0019606678
160, nan,nan,nan,196.0,340.0,nan,nan,0.022396535
161, 43.21008939175393,nan,nan,188.0,236.0,252.0,236.0,0.021463413
162, nan,nan,nan,276.0,164.0,284.0,164.0,0.0263355
163, 26.565051177077994,11.309932474020217,164.0,188.0,236.0,268.0,228.0,0.0028711339
164, 36.86989764584402,nan,nan,252.0,244.0,204.0,332.0,0.029212754
165, nan,nan,nan,188.0,236.0,260.0,164.0,0.030385632
166, 26.565051177077994,nan,nan,204.0,332.0,268.0,172.0,0.0327693
167, 29.054604099077146,nan,nan,220.0,276.0,nan,nan,0.031693723
168, nan,nan,nan,180.0,244.0,260.0,172.0,0.0740255
169, 27.59729586864372,nan,nan,220.0,292.0,nan,nan,0.00027712336
170, 23.962488974578186,nan,nan,204.0,332.0,260.0,188.0,0.0010639464
171, nan,nan,nan,220.0,252.0,180.0,244.0,0.006780722
172, 0.0,nan,292.0,260.0,180.0,260.0,244.0,0.0016836936
173, 40.60129464500447,nan,nan,204.0,332.0,268.0,188.0,0.026792157
174, nan,nan,nan,180.0,244.0,260.0,180.0,0.0009704763
175, 45.0,nan,nan,188.0,244.0,260.0,180.0,0.018032324
176, 45.0,nan,nan,204.0,332.0,268.0,188.0,0.012721333
177, 36.86989764584402,28.39301942138299,nan,220.0,188.0,220.0,292.0,0.026422013
178, nan,26.565051177077994,nan,220.0,252.0,188.0,244.0,0.008604138
179, 18.43494882292201,nan,204.0,220.0,300.0,276.0,204.0,0.031576812
