Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRHipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLHipSignal, pgram_all, combined_signal, rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
172,76.56896973,nan,132,212,324,212,340,655.8752441,20.2336235,1.176294327,56.1338501,236.0897827,230.7681427,4658.872559,965.7990112,1335.966553,76.56896973,39.39750671,132,212,324,212,340
173,80.42577362,nan,nan,172,236,236,140,120.7433243,44.00885391,0.037920378,590.6436157,9.445999146,65.71243286,9.256043434,2050.355957,1040.931641,80.42577362,41.5059433,135,172,236,236,140
174,nan,nan,nan,172,244,212,132,68.91593933,0.213639155,1.703212738,145.0364838,64.0016098,230.4146881,2499.073975,2148.136963,1021.461548,79.84720612,43.61437988,138,172,244,212,132
175,nan,nan,nan,172,244,212,132,121.8330231,111.0510254,1.144582629,1004.985413,64.68882751,22.51426506,809.0159912,2301.289307,1025.991455,79.26863861,45.72281647,141,172,244,212,132
176,78.69007111,nan,nan,172,244,204,132,578.5834961,13.91399384,10.33809662,3.891588688,949.4137573,79.1269455,1016.881653,8518.391602,1022.521362,78.69007111,47.83125305,144,172,244,204,132
177,nan,nan,nan,172,244,204,132,36.23687744,5.239376545,12.61968899,70.88925171,5558.371094,73.50013733,68.18518066,8388.02832,1003.766602,54.82691193,49.93969345,147,172,244,204,132
178,30.96375656,nan,nan,172,244,196,132,277.820282,38.54510498,0.011037068,130.642334,881.8026123,61.92498398,138.6282959,8238.586914,977.0119019,30.96375656,52.04813004,150,172,244,196,132
179,30.96375656,nan,nan,140,220,196,132,197.714325,25.79340744,0.526240885,518.5123291,534.8848267,694.8295288,6773.002441,7611.477051,926.1203613,30.96375656,54.15656662,153,140,220,196,132
180,30.96375656,nan,nan,164,252,188,132,148.2864075,1.557802439,0.042735353,40.6165657,717.8097534,12.16083336,1760.234009,8153.869141,979.2287598,30.96375656,56.2650032,156,164,252,188,132
181,nan,nan,nan,212,324,204,132,12.34276962,21.50335884,0.016474638,106.9206161,886.055481,26.35587883,4.835726261,8687.258789,1124.185303,34.81178284,58.37343979,159,212,324,204,132
182,38.65980911,nan,nan,164,244,188,132,12.73366928,8.623311996,0.896839321,1080.019775,10895.05957,132.5324402,4029.096924,2909.625,989.1417236,38.65980911,60.48187637,162,164,244,188,132
183,66.80140686,nan,nan,164,244,188,132,53.68630981,0.092409149,0.835331619,149.583313,277.9890137,37.62612152,684.5250244,3880.508057,1022.391724,66.80140686,62.59031677,165,164,244,188,132
184,21.80140877,nan,nan,164,244,188,132,127.7177505,0.051334098,0.614433765,1206.149292,4940.666016,10.85111237,891.6616211,3911.268311,982.5001221,21.80140877,64.69875336,168,164,244,188,132
185,63.43494797,nan,nan,212,324,204,140,84.21346283,32.50532532,0.037788618,4.409716606,1987.278564,38.62895203,474.4460144,6506.291504,1181.242188,63.43494797,66.80718994,171,212,324,204,140
186,30.96375656,nan,nan,164,244,188,132,335.9586487,0.085333802,3.223995924,0.013635472,273.5465393,259.4329529,2712.817627,8137.631348,1001.879395,30.96375656,68.91562653,174,164,244,188,132
187,30.96375656,nan,nan,164,244,188,132,0.428403974,8.895452499,2.114854813,923.8341675,22.37215805,352.1712341,362.1973877,8198.064453,1006.987793,30.96375656,71.02406311,177,164,244,188,132
188,75.96375275,nan,nan,164,244,188,132,13.52237034,16.84923935,2.366214275,26.29247856,1312.821289,342.4029846,1887.666138,8674.007813,1057.096191,75.96375275,73.13249969,180,164,244,188,132
189,30.96375656,nan,nan,164,252,188,132,331.5284424,2.180409908,1.086620688,415.827301,3056.356201,150.3624878,2032.067749,7969.577148,1025.204712,30.96375656,75.24093628,183,164,252,188,132
190,63.43494797,nan,nan,212,324,204,132,233.1776123,0.277004331,0.09643434,149.9889069,1722.508057,38.30728149,668.6817627,8551.765625,1198.784302,63.43494797,77.34937286,186,212,324,204,132
191,75.96375275,nan,nan,164,244,188,132,46.08605576,0.001162319,0.252905428,327.4081116,4352.537109,44.24680328,1454.352173,6049.084961,1072.421631,75.96375275,79.45781708,189,164,244,188,132
192,57.89374542,nan,nan,212,324,204,132,2.780389786,0.026630994,3.100790739,1074.340088,4388.774414,14.16646957,764.5661621,3549.210693,1203.459961,57.89374542,81.56625366,192,212,324,204,132
193,63.43494797,nan,nan,212,324,204,132,449.4105225,2.517145157,1.447391033,246.9811401,780.0084839,102.7983093,92.17498016,3513.619873,1214.109619,63.43494797,83.67469025,195,212,324,204,132
194,63.43494797,nan,nan,212,324,204,132,7.007303238,143.1355133,0.950856388,74.46205902,1201.031006,229.3828125,3484.010254,2879.65625,1219.218018,63.43494797,85.78312683,198,212,324,204,132
195,nan,nan,nan,nan,nan,nan,nan,595.0302124,7.382201195,0.023409374,166.824646,6782.608887,10.15202141,318.3041992,2354.321533,1282.127197,61.2355957,87.89156342,201,212,324,236,160
196,59.03624344,90,204,212,324,268,188,16.87155533,18.50148964,0.67091316,23.73119354,520.0316162,562.9796753,3619.648438,1723.964844,1345.036255,59.03624344,90,204,212,324,268,188
197,nan,nan,nan,188,236,260,180,185.3775482,3.089408636,0.705883086,421.2657166,602.0387573,381.2059631,2001.005249,1821.167847,1227.201904,70.63553619,89.2620163,203.3043518,188,236,260,180
