Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal
408,72.89727103094764,18.43494882292201,nan,204.0,332.0,204.0,340.0
409,38.08877288097532,nan,nan,204.0,332.0,236.0,188.0
410,36.15818543980832,nan,nan,204.0,332.0,244.0,188.0
411,30.96375653207352,nan,nan,204.0,332.0,236.0,188.0
412,45.0,nan,nan,172.0,252.0,236.0,188.0
413,50.19442890773481,71.56505117707799,nan,204.0,332.0,252.0,196.0
414,37.874983651098205,78.69006752597979,196.0,212.0,268.0,220.0,260.0
415,76.7594800848128,nan,196.0,204.0,332.0,204.0,340.0
416,33.69006752597979,45.0,nan,204.0,332.0,260.0,172.0
417,87.06432655357882,nan,180.0,204.0,332.0,204.0,340.0
418,87.06432655357882,nan,172.0,204.0,332.0,204.0,340.0
419,43.15238973400541,45.0,nan,204.0,332.0,260.0,164.0
420,46.68468431789629,45.0,nan,204.0,332.0,260.0,156.0
421,45.0,nan,nan,204.0,332.0,260.0,148.0
422,nan,nan,nan,172.0,228.0,244.0,140.0
423,25.346175941946694,45.0,nan,204.0,332.0,252.0,132.0
424,57.52880770915151,nan,132.0,204.0,348.0,204.0,340.0
425,53.13010235415598,nan,124.0,204.0,348.0,204.0,340.0
426,53.58362148011395,nan,116.0,196.0,348.0,204.0,340.0
427,43.95837332399003,30.96375653207352,nan,204.0,348.0,204.0,340.0
428,45.0,0.0,nan,188.0,236.0,252.0,100.0
429,66.80140948635182,nan,nan,196.0,348.0,228.0,100.0
430,nan,nan,nan,228.0,92.0,nan,nan
431,32.9052429229879,45.0,nan,180.0,220.0,244.0,92.0
432,25.559965171823812,nan,nan,180.0,204.0,236.0,84.0
433,26.896236965493372,0.0,nan,180.0,204.0,236.0,84.0
434,31.9543629370514,45.0,nan,196.0,348.0,196.0,340.0
435,25.559965171823812,nan,nan,180.0,204.0,228.0,92.0
436,32.9052429229879,nan,nan,172.0,204.0,228.0,84.0
437,43.94559549647816,45.0,nan,196.0,348.0,196.0,340.0
438,30.30268072048809,nan,nan,172.0,196.0,228.0,84.0
439,28.926425835253614,0.0,nan,172.0,196.0,236.0,84.0
