Index, pgram
130,0.022003675
131,0.0019534298
132,0.004528812
133,0.0013321545
134,0.0019081989
135,0.005377834
136,0.0047379932
137,0.003989251
138,0.004255727
139,0.01708357
140,0.00874248
141,0.04112005
142,0.012753883
143,0.0064706863
144,0.009958293
145,0.008714072
146,0.0002707887
147,0.0029898756
148,0.0066842274
149,0.007493929
150,0.00043016448
151,0.014311952
152,0.017163703
153,0.003921591
154,0.022209562
155,0.0014423854
156,0.013206961
157,0.009396821
158,0.018256973
159,0.002092202
160,0.006184459
161,0.024113549
162,0.009970496
163,0.00912475
164,0.0038030038
165,0.0041022385
166,0.0022808206
167,0.01788255
168,0.0015372818
169,0.006677188
170,0.01697249
171,0.010598219
172,0.0104795955
173,0.010985982
174,0.010761932
175,0.014417366
176,0.04375388
177,0.03778553
178,0.01049484
179,0.006237536
180,0.0057315915
181,0.024834603
182,0.031335115
183,0.00047043336
184,0.009544059
185,0.0016518394
186,0.0076051387
187,0.0041189417
188,0.01346797
189,0.022572147
190,0.019551413
191,0.0045382255
192,0.028836008
193,0.010119117
194,0.003216974
195,0.057400662
196,0.015942823
197,0.0036507086
198,0.028886918
199,0.023601728
200,0.011882665
201,0.009681938
202,0.00018809483
203,0.011436432
204,0.002173658
205,0.016565233
206,0.04325705
207,0.007507808
208,0.016049102
209,0.01718507
210,0.012306459
211,0.00041065845
212,0.0023068648
213,0.010317834
214,0.011046244
215,0.029003536
216,0.01442472
217,0.021694178
218,0.018555729
219,0.004417041
220,0.018366013
221,0.0015584225
222,0.0036402529
223,0.052802786
224,0.034686506
225,0.0068867533
226,0.043676525
227,0.004995931
228,0.049338523
229,0.03505545
230,0.044326477
231,0.0118827475
232,0.056803655
233,0.020476505
234,0.004993921
235,0.06535142
236,0.035050247
237,0.007451812
238,0.006911444
239,0.06900777
240,0.0049427506
241,0.07949617
242,0.038838934
243,0.00083453563
244,0.059863817
245,0.0113199735
246,0.0025367176
247,0.062113367
248,0.002062525
249,0.032574233
250,0.08998397
251,0.1514104
252,0.04486999
253,0.017691666
254,0.16290581
255,0.059826564
256,0.0005431413
257,0.00020861172
258,0.0007307422
259,0.0007607419
260,0.0007144933
261,0.0009317364
262,0.0009317364
263,0.00043992305
264,0.00043992305
265,0.001041067
266,0.00066988956
267,0.0005704042
268,0.00025594994
269,0.0005811384
270,0.0003553806
271,0.00080991833
272,0.00083074
273,0.00043992305
274,0.0005124421
275,0.0005124421
276,2.5769326e-05
277,0.00026486607
278,0.0007850218
279,0.0007307422
280,0.00097343477
281,0.00018397541
282,0.00022875622
283,0.0005918991
284,7.4240386e-05
285,0.0010594643
286,8.5451924e-05
287,0.000114126466
288,0.00017780546
289,9.462032e-05
290,9.230446e-05
291,0.0009154508
292,0.00066988956
293,0.00040155198
294,0.00049172086
295,0.00025316654
296,0.00046259564
297,0.00013193135
298,0.0007144933
299,0.000972976
300,0.000972976
301,0.0006357467
302,0.0006116822
303,0.00058367685
304,0.0010051504
305,0.0007850218
306,0.00078710786
307,0.0010264253
308,0.00074210187
309,0.0010032661
310,0.0006512055
311,0.000105590574
312,0.00013952686
313,0.000115724615
314,0.00026486607
315,0.00032954314
316,0.00066988956
317,0.000684663
318,0.0008268538
319,6.216851e-05
320,0.0006204805
321,0.0005684535
322,0.00033828753
323,0.00024421467
324,0.00043288455
325,0.00040155198
326,7.268001e-06
327,0.00031917763
328,0.00030219418
329,0.00014845848
330,0.00026486607
331,8.5451924e-05
332,0.00015651644
333,0.00015651644
334,9.462032e-05
335,8.5451924e-05
336,8.5451924e-05
337,0.00025259922
338,8.5451924e-05
339,0.00011718139
340,8.0636535e-05
341,0.00033393162
342,0.00043288455
343,0.0003553806
344,0.00037917585
345,0.00022875622
346,8.096825e-05
347,0.00020469473
348,0.0009317364
349,0.0009317364
350,0.00053448795
351,0.0007307422
352,0.0006357467
353,0.00066988956
354,0.00078710786
355,0.00019367602
356,0.0007850218
357,0.0
358,0.00066988956
359,0.0005704042
360,0.000387966
361,0.00017780546
362,0.00018763171
363,0.00058367685
364,9.230446e-05
365,0.00066988956
366,0.00066988956
367,0.00077066454
368,0.00046259564
369,0.00087669754
370,0.0001977672
371,0.0009584336
372,0.0007850218
373,0.000601855
374,0.000108036045
375,0.00037868263
376,0.00024867404
377,0.00040155198
378,0.00025316654
379,0.00040006236
380,0.00019990263
381,0.00011222264
382,0.0
383,4.1904823e-07
384,4.3365962e-05
385,6.247577e-06
386,0.00011718139
387,0.00019990263
388,0.00019990263
389,0.00019990263
390,0.00023374466
391,0.00017133867
392,0.00022875622
393,0.00020959367
