Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRhipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLhipSignal, pgram_all,rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
74,49.763641357421875,nan,nan,196.0,204.0,260.0,92.0,446.4603271484375,112.02140045166016,8.481151580810547,1496.7479248046875,456.4046325683594,249.86341857910156,831.8660888671875,984.0684204101562,49.763641357421875,45.783050537109375,136.52174377441406,196.0,204.0,260.0,92.0
75,43.754634857177734,nan,nan,204.0,204.0,260.0,92.0,75.42073059082031,93.9947280883789,110.17520904541016,288.2881774902344,13.540913581848145,462.3717956542969,13108.966796875,988.2337646484375,43.754634857177734,46.56610107421875,137.9130401611328,204.0,204.0,260.0,92.0
76,28.072486877441406,nan,nan,204.0,204.0,260.0,92.0,24.783557891845703,790.1515502929688,32.809818267822266,5.3430891036987305,810.0811767578125,48.145870208740234,135.0122833251953,974.7259521484375,28.072486877441406,47.349151611328125,139.30435180664062,204.0,204.0,260.0,92.0
77,41.112091064453125,nan,nan,204.0,204.0,260.0,92.0,1075.1129150390625,328.6255187988281,172.62432861328125,611.4328002929688,61.52509307861328,3.269369602203369,1007.952392578125,989.93994140625,41.112091064453125,48.1322021484375,140.69564819335938,204.0,204.0,260.0,92.0
78,39.143985748291016,nan,nan,204.0,212.0,260.0,92.0,107.15602111816406,4.353657245635986,50.648685455322266,32.32720947265625,12588.77734375,287.9905700683594,361.15771484375,998.1461791992188,39.143985748291016,48.915252685546875,142.0869598388672,204.0,212.0,260.0,92.0
79,nan,nan,nan,204.0,324.0,244.0,92.0,9.066608428955078,223.22792053222656,730.0114135742188,76.94929504394531,4376.38427734375,138.9140167236328,324.721923828125,1114.73046875,57.553871154785156,49.69830322265625,143.47825622558594,204.0,324.0,244.0,92.0
80,75.96375274658203,nan,nan,204.0,324.0,244.0,100.0,1597.615234375,177.28250122070312,89.53404998779297,4.306757926940918,2156.187744140625,934.349609375,11950.416015625,1143.314697265625,75.96375274658203,50.481353759765625,144.86956787109375,204.0,324.0,244.0,100.0
81,45.0,nan,nan,204.0,324.0,244.0,108.0,207.298828125,118.70687103271484,1.3911830186843872,0.7628032565116882,122.08541107177734,568.3117065429688,980.387939453125,1122.5252685546875,45.0,51.264404296875,146.2608642578125,204.0,324.0,244.0,108.0
82,nan,nan,nan,204.0,324.0,252.0,108.0,641.135498046875,25.35501480102539,24.242046356201172,52.68601989746094,613.8595581054688,931.0076904296875,661.2177734375,1135.27587890625,47.576210021972656,52.047454833984375,147.6521759033203,204.0,324.0,252.0,108.0
83,nan,nan,nan,204.0,324.0,252.0,116.0,24.00252914428711,459.8994140625,128.49913024902344,85.80033111572266,915.9434814453125,910.361328125,1773.39892578125,1148.0263671875,50.15242385864258,52.83050537109375,149.04347229003906,204.0,324.0,252.0,116.0
84,nan,nan,nan,204.0,324.0,252.0,124.0,108.65455627441406,811.9404296875,21.108118057250977,580.572509765625,467.6163635253906,1471.4576416015625,10648.2294921875,1160.7769775390625,52.728633880615234,53.613555908203125,150.43478393554688,204.0,324.0,252.0,124.0
85,55.304847717285156,nan,nan,204.0,244.0,268.0,140.0,1.8276045322418213,0.010119711048901081,292.4236755371094,15.90298843383789,118.81403350830078,697.3258056640625,4469.6201171875,1117.527587890625,55.304847717285156,54.3966064453125,151.82608032226562,204.0,244.0,268.0,140.0
86,88.49256134033203,nan,nan,196.0,244.0,268.0,148.0,702.6572875976562,375.6886291503906,3.1578619480133057,60.44771194458008,8.876352310180664,777.1036376953125,1521.0128173828125,1152.8896484375,88.49256134033203,55.179656982421875,153.21739196777344,196.0,244.0,268.0,148.0
